City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Te Anau,NZ,54.95,scattered clouds,-45.4167,167.7167,Distinction Hotel
11,Port Hedland,AU,66.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
13,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,Townhouse Hotel
24,Jamestown,US,55.02,overcast clouds,42.097,-79.2353,DoubleTree Jamestown
39,Santa Cecilia,BR,53.01,clear sky,-26.9608,-50.4269,Hotel Modelo
43,Lasa,IT,58.08,overcast clouds,46.6166,10.7002,"Hotel ""Drei Kreuz"""
53,Hermanus,ZA,52.81,few clouds,-34.4187,19.2345,Aloe guest house
56,Rocha,UY,67.05,clear sky,-34.4833,-54.3333,Hotel Municipal
60,Necochea,AR,70.0,broken clouds,-38.5473,-58.7368,Cabañas Río Quequén
62,Aksu,CN,59.74,clear sky,41.1231,80.2644,Akesu Tianyuan International Hotel
69,Hamilton,US,66.31,scattered clouds,39.1834,-84.5333,North Vista Manor
72,Castro,BR,59.36,broken clouds,-24.7911,-50.0119,Hotel Central Palace
74,Beira,MZ,69.89,clear sky,-19.8436,34.8389,Hotel Savoy
82,Korla,CN,59.85,broken clouds,41.7597,86.1469,Silver Star Hotel
84,Kazuno,JP,58.57,light rain,40.1836,140.7872,ホテル茅茹荘
89,Skibbereen,IE,54.1,overcast clouds,51.55,-9.2667,West Cork Hotel
94,Chuy,UY,65.57,clear sky,-33.6971,-53.4616,Alerces
96,Maku,IR,53.92,overcast clouds,39.2911,44.4521,آسیان هتل ماکو
104,Garden City,US,65.01,overcast clouds,42.3256,-83.331,Quality Inn & Suites
107,Bardiyah,LY,60.35,clear sky,31.7561,25.0865,فندق البردي
113,Williston,US,60.82,scattered clouds,48.147,-103.618,The El Rancho
114,Mount Isa,AU,56.97,clear sky,-20.7333,139.5,Ibis Styles
116,Okato,NZ,58.68,overcast clouds,-39.2,173.8833,Stony River Boutique Hotel
117,Sangolqui,EC,64.89,light rain,-0.3341,-78.4522,Urbanización Molinos de Viento
123,Dongzhen,CN,64.22,overcast clouds,22.3797,110.9389,新城国际大酒店(信宜店)
132,Kropotkin,RU,50.14,overcast clouds,45.4375,40.5756,Европа
133,Beloha,MG,68.58,scattered clouds,-25.1667,45.05,Hôtel Oliv
135,Bethel,US,51.55,overcast clouds,41.3712,-73.414,Hampton Inn Danbury
137,Bredasdorp,ZA,53.76,clear sky,-34.5322,20.0403,Victoria Hotel
141,Hobart,AU,50.05,clear sky,-42.8794,147.3294,Vibe Hotel Hobart
143,Asfi,MA,66.63,broken clouds,32.2994,-9.2372,Golden Tulip Farah Safi
168,Ahipara,NZ,67.69,light rain,-35.1667,173.1667,YHA Ahipara
179,Hasaki,JP,69.22,moderate rain,35.7333,140.8333,大新旅館
190,Asyut,EG,66.38,clear sky,27.181,31.1837,فندق الحسين
199,Port Elizabeth,ZA,62.89,broken clouds,-33.918,25.5701,Waterford Hotel
211,Benicarlo,ES,67.89,overcast clouds,40.4165,0.4271,Parador de Benicarló
228,Clarence Town,AU,60.85,few clouds,-32.5833,151.7833,Erringhi Hotel
232,Guerrero Negro,MX,67.57,broken clouds,27.9769,-114.0611,Plaza sal paraiso
233,Ayagoz,KZ,54.64,broken clouds,47.9714,80.4392,Нур
237,Rabo De Peixe,PT,63.91,light rain,37.8,-25.5833,Pico do Refugio
241,Katsuura,JP,69.82,overcast clouds,35.1333,140.3,潮騒の宿
252,Plettenberg Bay,ZA,60.33,broken clouds,-34.0527,23.3716,Milkwood Manor
254,Dolores,AR,68.49,clear sky,-36.3132,-57.6792,Plaza Hotel
258,Thompson,CA,50.16,scattered clouds,55.7435,-97.8558,Thompson Inn
261,Chlorakas,CY,54.48,scattered clouds,34.8042,32.4083,Sunny Hill
266,Saint Paul,US,55.81,broken clouds,44.9444,-93.0933,Crowne Plaza
282,Saldanha,ZA,55.45,clear sky,-33.0117,17.9442,Hoedjesbaai
289,Fortuna,US,62.92,scattered clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
303,Esperance,AU,55.74,scattered clouds,-33.8667,121.9,Hospitality
304,Broken Hill,AU,50.52,clear sky,-31.95,141.4333,Ibis Styles
305,Penzance,GB,52.48,overcast clouds,50.1186,-5.5371,The Abbey Hotel
321,Kashi,CN,61.81,clear sky,39.4547,75.9797,深航国际酒店
325,Geraldton,AU,52.21,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
327,Mollendo,PE,69.13,scattered clouds,-17.0231,-72.0147,Hostal California
334,Beibei,CN,63.37,overcast clouds,29.8256,106.4339,Chuanyi Grand hotel
339,Naze,JP,67.12,light rain,28.3667,129.4833,ビジネス旅館畠山
341,La Ronge,CA,52.02,broken clouds,55.1001,-105.2842,La Ronge Hotel and Suites
345,Yulara,AU,50.65,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
353,Shache,CN,67.71,clear sky,38.4167,77.2406,莎車新盛賓舘
361,Kasempa,ZM,58.96,overcast clouds,-13.4584,25.8338,Kasmpa Council Guest House
363,Kendal,GB,53.58,overcast clouds,54.3268,-2.7476,Highgate Hotel
