City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,69,75,16.11,light snow
1,San Ignacio,BZ,17.1561,-89.0714,102.34,37,20,4.61,few clouds
2,Bluff,NZ,-46.6,168.3333,52.81,77,31,9.17,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,63.18,76,11,4.0,few clouds
4,Te Anau,NZ,-45.4167,167.7167,54.95,79,46,0.87,scattered clouds
5,Svetlaya,RU,46.5389,138.3297,32.58,97,100,25.26,snow
6,New Norfolk,AU,-42.7826,147.0587,49.71,63,39,2.84,scattered clouds
7,Ribeira Grande,PT,38.5167,-28.7,64.78,94,100,21.0,light rain
8,Provideniya,RU,64.3833,-173.3,22.98,86,94,16.35,overcast clouds
9,Pangody,RU,65.85,74.4859,17.42,89,68,18.97,broken clouds
10,Atuona,PF,-9.8,-139.0333,81.0,79,18,17.56,light rain
11,Port Hedland,AU,-20.3167,118.5667,66.25,32,100,5.75,overcast clouds
12,Nelson Bay,AU,-32.7167,152.15,61.0,90,44,10.0,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,60.91,70,0,14.97,clear sky
14,Fairbanks,US,64.8378,-147.7164,46.36,51,40,0.0,scattered clouds
15,Katherine,AU,-14.4667,132.2667,68.32,77,31,6.91,scattered clouds
16,Kudahuvadhoo,MV,2.6708,72.8944,82.51,73,100,1.97,overcast clouds
17,Buzmeyin,TM,38.0507,58.2056,80.33,19,75,4.61,broken clouds
18,Mezen,RU,65.8522,44.24,30.13,97,100,12.77,snow
19,Mar Del Plata,AR,-38.0023,-57.5575,78.1,60,20,5.75,few clouds
20,La Gomera,GT,14.0833,-91.05,91.13,46,76,15.26,broken clouds
21,Ha Giang,VN,22.8333,104.9833,70.39,85,100,1.14,moderate rain
22,Georgetown,MY,5.4112,100.3354,80.53,92,20,3.44,few clouds
23,Bembereke,BJ,10.2283,2.6634,73.54,74,97,8.9,overcast clouds
24,Jamestown,US,42.097,-79.2353,55.02,91,100,8.05,overcast clouds
25,Saint George,US,37.1041,-113.5841,90.43,12,0,3.44,clear sky
26,Anse-Bertrand,GP,16.4721,-61.5078,84.02,100,33,12.01,light rain
27,Dongkan,CN,33.9997,119.8308,49.86,60,0,8.28,clear sky
28,Barrow,US,71.2906,-156.7887,10.42,79,75,18.41,broken clouds
29,Vestmannaeyjar,IS,63.4427,-20.2734,38.52,64,100,19.33,overcast clouds
30,Duku,NG,11.2361,4.9073,82.2,51,97,4.76,overcast clouds
31,Harlingen,US,26.1906,-97.6961,82.36,27,0,21.85,clear sky
32,Yellowknife,CA,62.456,-114.3525,50.52,34,75,17.0,broken clouds
33,Tasiilaq,GL,65.6145,-37.6368,32.16,88,72,3.33,broken clouds
34,Anderson,US,34.5334,-82.6499,75.96,59,0,6.91,clear sky
35,Puerto Ayora,EC,-0.7393,-90.3518,84.16,94,83,3.0,light rain
36,Klyuchevskiy,RU,53.5317,119.4519,32.02,70,44,2.46,scattered clouds
37,Aklavik,CA,68.2191,-135.0107,21.2,63,20,6.91,few clouds
38,Rikitea,PF,-23.1203,-134.9692,78.1,71,81,11.88,broken clouds
39,Santa Cecilia,BR,-26.9608,-50.4269,53.01,93,0,2.59,clear sky
40,Salalah,OM,17.0151,54.0924,84.29,84,20,2.3,few clouds
41,Albany,US,42.6001,-73.9662,54.01,77,100,1.99,light rain
42,Saskylakh,RU,71.9167,114.0833,30.43,98,100,6.87,light snow
43,Lasa,IT,46.6166,10.7002,58.08,88,91,3.98,overcast clouds
44,Carnarvon,AU,-24.8667,113.6333,74.64,60,100,8.79,overcast clouds
45,Baruun-Urt,MN,46.6806,113.2792,35.31,33,2,5.37,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,39.31,60,20,16.11,few clouds
47,Kapaa,US,22.0752,-159.319,82.38,84,100,16.11,moderate rain
48,Codrington,AU,-38.2667,141.9667,47.59,83,44,8.14,scattered clouds
49,Providencia,MX,28.7167,-111.5833,100.2,23,12,11.72,few clouds
50,Tiksi,RU,71.6872,128.8694,24.64,96,100,3.98,overcast clouds
51,Ust-Nera,RU,64.5667,143.2,26.44,89,100,1.48,overcast clouds
52,Hofn,IS,64.2539,-15.2082,31.91,48,90,11.1,overcast clouds
53,Hermanus,ZA,-34.4187,19.2345,52.81,75,16,7.85,few clouds
54,Soledad,CO,10.9184,-74.7646,84.33,79,40,8.05,scattered clouds
55,Saryozek,KZ,44.3583,77.9753,54.09,61,5,5.3,clear sky
56,Rocha,UY,-34.4833,-54.3333,67.05,52,0,9.95,clear sky
57,Faya,SA,18.3851,42.4509,64.51,58,21,2.98,few clouds
58,Saint-Francois,FR,46.4154,3.9054,54.97,76,0,5.75,clear sky
59,Gao,ML,16.6362,1.637,91.67,16,46,6.8,scattered clouds
60,Necochea,AR,-38.5473,-58.7368,70.0,65,70,8.3,broken clouds
61,Amapa,BR,1.0,-52.0,74.01,99,100,2.95,overcast clouds
62,Aksu,CN,41.1231,80.2644,59.74,21,6,3.24,clear sky
63,Svetlogorsk,BY,52.6333,29.7333,41.18,63,20,4.7,few clouds
64,Port-Cartier,CA,50.0334,-66.8654,43.75,77,100,6.76,overcast clouds
65,Waipawa,NZ,-41.4122,175.5153,58.14,76,97,6.71,overcast clouds
66,Hilo,US,19.7297,-155.09,81.28,89,100,5.75,moderate rain
67,Ghanzi,BW,-21.5667,21.7833,72.55,37,8,7.99,clear sky
68,Atbasar,KZ,51.8,68.3333,45.72,43,2,9.51,clear sky
69,Hamilton,US,39.1834,-84.5333,66.31,63,40,16.11,scattered clouds
70,Busselton,AU,-33.65,115.3333,55.62,80,76,2.51,broken clouds
71,Qaanaaq,GL,77.484,-69.3632,21.15,79,58,4.74,broken clouds
72,Castro,BR,-24.7911,-50.0119,59.36,85,84,4.76,broken clouds
73,Terney,RU,45.0503,136.6092,37.56,95,100,21.03,overcast clouds
74,Beira,MZ,-19.8436,34.8389,69.89,94,0,2.48,clear sky
75,Hithadhoo,MV,-0.6,73.0833,82.96,74,100,9.1,overcast clouds
76,Sibu,MY,2.3,111.8167,77.31,100,40,2.3,scattered clouds
77,Marshall,US,34.3834,-86.3333,76.08,65,40,6.91,scattered clouds
78,Mataura,NZ,-46.1927,168.8643,52.48,70,5,3.11,clear sky
79,Kirakira,SB,-10.4544,161.9205,84.24,75,65,9.13,broken clouds
80,Gorom-Gorom,BF,14.4439,-0.2361,88.34,33,97,15.75,overcast clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,87.1,23,0,8.05,clear sky
